premise	hypothesis	gold_label	original_premise	original_hypothesis
The former work has approximately entries, while the latter has around entries	By my calculations, the ODNW has more information has more information than the blurbs suggest.	not_entailment	According to the blurbs, the former contains 2000 entries, the latter 2700; but the ODNW is more densely packed with information-- at least thirty per cent more, by my calculations.	By my calculations, the ODNW has more information has more information than the blurbs suggest.
Pitt observed his lordship from the quarter-deck rail, and described him as being very serious, similar to a clergyman during an execution	Pitt had never seen his lordship as grave as he was then.	not_entailment	Pitt, who watched the scene from the quarter-deck rail, tells us that his lordship was as grave as a parson at a hanging.	Pitt had never seen his lordship as grave as he was then.
On yachts, there are numerous scenes that display grace and playful behavior	Yachts are used as the setting for many elegant scenes.	entailment	There are, of course, many elegant and flirtatious scenes set on yachts.	Yachts are used as the setting for many elegant scenes.
In the South, there is a detail of japing behavior that has undergone a reversal in its social meaning	In the South, japes have a distinct and inflexible social connection	not_entailment	There is one detail of Southern japes that has inverted its class associations.	Southern japes has a very clear and rigid class association.
The USDA proposes a bill to increase its power to enforce regulations	The USDA says police need to help them.	not_entailment	The USDA argues, however, that what is needed is more enforcement power, and to that end, it is advancing a bill designed to expand its authority.	The USDA says police need to help them.
The federal budget of the government is assured to be steady	Improvements in the operations of government agencies were included.	entailment	They include a stable federal budgetary future, technological innovation, and improvements in the operations and service provision of government agencies.	Improvements in the operations of government agencies were included.
We invite every nation to become part of our group	or more countries must become members with us	not_entailment	We ask every nation to join us.	We need at least 10 countries to join us
We will attempt to get in touch with all those individuals who have not taken part in our activities during the current fiscal year within the next days, in order to accomplish our objective before the deadline of June h	We have no intention of ever contacting those who have not donated this fiscal year.	not_entailment	We will try to contact each of you who have not participated this fiscal year in the next 45 days so that our goal can be reached by the deadline of June 30th.	We have no intention of ever contacting those who have not donated this fiscal year.
Before September   this endeavor was already underway	After 9/11 the effort increased dramatically.	entailment	This effort was going on before 9/11 and it continues on a vastly enlarged scale.	After 9/11 the effort increased dramatically.
If they try to prevent us from continuing our journey, we will execute a woman first and engage in a battle for her afterwards	It was uncertain whether the boat would continue to advance	not_entailment	Then let them know that if they attempt to hinder our sailing hence, we'll hang the doxy first and fight for it after.	There was no way of knowing if the boat would still move forward.
I have summoned you, Captain Blood, due to some recent information that I have obtained	I have not heard any news, Captain Blood. Have you?	not_entailment	I have sent for you, Captain Blood, because of certain news that has just reached me.	I have not heard any news, Captain Blood. Have you?
The end of plantation capitalism could have occurred as peacefully as the end of communism in Europe	There was no end to communism in Europe.	not_entailment	The end of plantation capitalism might have come as safely as the demise of communism in Europe.	There was no end to communism in Europe.
Attorneys financed by the Legal Services Corporation would need to keep track of their clients' whereabouts and stop representing them once their clients have departed from the United States	Attorneys get paid by the LSC if they are working in terrorism.	not_entailment	LSC-funded attorneys would be required to monitor the movements of their clients, and to withdraw from cases whenever their alien clients leave the United States.	Attorneys get paid by the LSC if they are working in terrorism.
Following the resumption of flights, nine private jet planes carrying a total of passengers, predominantly Saudi citizens, took off from the United States between September and	More than 100 Saudi national left the US.	entailment	After the airspace reopened, nine chartered flights with 160 people, mostly Saudi nationals, departed from the United States between September 14 and 24.	More than 100 Saudi national left the US.
New York state senators and legislators admitted they supported the bill due to the strong advocacy for it	New York state has no senators.	not_entailment	Yet New York state senators and legislators privately admit they assented to the legislation because they were impressed with the ferocity of the support for the bill.	New York state has no senators.
Ha! Wolverstone expressed a derisive laugh	Wolverstone laughed.	entailment	Ha! Wolverstone vented an ejaculation of sneering mirth.	Wolverstone laughed.
Graduates of the I	The IU School of law was shut down long ago.	not_entailment	Graduates of the I. U .School of Law-Indianapolis leave with fundamental lawyering skills and a sound legal education.	The IU School of law was shut down long ago.
We will attempt to get in touch with all those individuals who have not taken part in our activities during the current fiscal year within the next days, in order to accomplish our objective before the deadline of June h	We will try to contact those who have not donated this fiscal year in the next 45 days.	entailment	We will try to contact each of you who have not participated this fiscal year in the next 45 days so that our goal can be reached by the deadline of June 30th.	We will try to contact those who have not donated this fiscal year in the next 45 days.
If we were unable to find methods to earn a living, we would have perished	Humans can always survive any situation, even when they are not making a living.	not_entailment	Of course, if we could not solve our chosen ways to make livings, we would be dead.	Humans can always survive any situation, even when they are not making a living.
If the value of households' current possessions decreases, individuals need to increase their savings to reach their desired level of wealth relative to their income	Assets will lose value sometimes due to the market.	not_entailment	If households' existing assets lose value, people have to save more to attain their wealth-income target.	Assets will lose value sometimes due to the market.
Present security regulations encourage excessive segmentation and unnecessarily restricted access to information among different agencies	Security requirements do not restrict access to information excessively	not_entailment	Current security requirements nurture overclassification and excessive compartmentation of information among agencies.	Security requirements do not compartmentalize information too much.
Life can be infernally complex, he sighed.	He made a sound indicating acceptance of a difficult situation	entailment	Life can be infernally complex, he sighed.	He let out a sign of resignation.
The past two weeks had not gone smoothly for him following his acceptance of the commission from the King	At night, he slept peacefully because he had declined the King's offer to accept a position	not_entailment	Things had not sped at all well with him in the past fortnight since his acceptance of the King's commission.	He slept soundly at night knowing he had rejected the King's commission.
Pitt observed his lordship from the quarter-deck rail, and described him as being very serious, similar to a clergyman during an execution	Pitt declared that he did not see what was happening	not_entailment	Pitt, who watched the scene from the quarter-deck rail, tells us that his lordship was as grave as a parson at a hanging.	Pitt swore that he did not get a glimpse of the scene.
Your investment contributes to maintaining the Museum's excellent standards and enables new accomplishments	Larger investments are more helpful for the Museum.	not_entailment	Your investment continues the high quality of all aspects of the Museum and makes new achievements possible.	Larger investments are more helpful for the Museum.
In the Cuban tropics, there was a day with the same degree of beauty as glory and the same degree of coldness as a tomb	Cuba is in the tropics.	entailment	So in the Cuban tropics, too, there has just now been a day as beautiful as glory, cold as the tomb.	Cuba is in the tropics.
due to my current financial constraints, I do not provide myself with tempting opportunities to spend money	I don't have a lot of money right now.	entailment	it's just that since my money is tight right now i don't even give myself a tempting	I don't have a lot of money right now.
In the Cuban tropics, there was a day with the same degree of beauty as glory and the same degree of coldness as a tomb	Cuba is in the arctic.	not_entailment	So in the Cuban tropics, too, there has just now been a day as beautiful as glory, cold as the tomb.	Cuba is in the arctic.
May fear deter those who are deceived by worldly mistakes, as the disturbing nature of these pictures reveals their future consequences	Those people will be killed immediately.	not_entailment	May such terror terrify those in thrall to earthly error, for the horror of these images tells what awaits them.	Those people will be killed immediately.
All nine responding agencies report participation in a	The nine agencies are satisfied with the large number of attendees at the event	not_entailment	All nine responding agencies report participation in a	These nine agencies are pleased that they had such a high participation level.
I don't want to join the Third Strategic Support Squadron	The Third SS is the worst possible squadron.	not_entailment	I don't want to go into the Third SS that's Third Strategic Support Squadron.	The Third SS is the worst possible squadron.
Based on using the same C-R function uniformly across the entire dataset, it is uncertain how much or in what manner the overall change in incidence will vary	You cant know how much bias there is.	entailment	It is not possible to know the extent or direction of the bias in the total incidence change based on the general application of a single C-R function everywhere.	You cant know how much bias there is.
We have progressed from discovering photocopies shortly after the introduction of the euro to finding replicas that closely resemble the originals	Euro banknotes are easily forged.	not_entailment	We have moved on from the photocopies detected soon after the arrival of the euro to real works of art that are very similar to the original.	Euro banknotes are easily forged.
I will not engage in debates concerning the distinction between falsehoods and truths based on actual events or their complexities	Someone discussed the intricacies of determining fact from falsehood	not_entailment	I will not enter into logical disquisitions about what is a lie or what is true with respect to the facts of reality or its paradoxes.	Someone went into the logical subtleties about what is truth and lies.
How to capture and keep them enduringly	Doing the job with maximum effectiveness.	entailment	How to trap and retain them for as long as possible.	Doing the job with maximum effectiveness.
In order to prevent ham from developing unpleasant tastes or unwanted outer layers, its edges should remain clean and well-defined, regardless of the length of time it takes to finish consuming it	The ham doesn't go stale	not_entailment	To avoid rancid flavors or unnecessary rinds, ham must always have a clean, well-contoured edge, regardless of how long one takes to consume it.	The ham doesn't go stale
In the field of cancer research, progress has been made primarily in the areas of early detection and identifying risk factors	In the field of cancer research, progress has primarily focused on identifying cancer at its initial stages and determining factors that increase the likelihood of developing cancer	entailment	Another conclusion: among the few areas with advancement in the field of cancer have been early detection and risk factors.	In cancer research, the advancement has mainly been in early detection and risk factors.
According to their belief, this meteorite is the biggest one that has passed through the peninsula	Looks like it's the biggest meteorite to cross the peninsula.	entailment	They believe that this is the largest meteorite that has ever crossed the peninsula.	Looks like it's the biggest meteorite to cross the peninsula.
If Pascal's statement that only the strong are considered just is not true, we should acknowledge this fact instead of continuing to believe and act as if it is	Pascual doesn’t write articles.	not_entailment	“If we can’t make the just have strength," as Pascal (whom the title of this article is quoting) said, we could at least stop pretending that what has strength is, for that reason alone, just.	Pascual doesn’t write articles.
Billingsgate Market, like Smithfield Market, is a place where many restaurants in the city go to purchase their supplies	There are at least two markets which make purchases for the large restaurateurs in the city.	entailment	Just as Smithfield Market, Billingsgate Market is also somewhere the city’s major restaurants visit and shop.	There are at least two markets which make purchases for the large restaurateurs in the city.
He feels a strong desire to analyze or explain matters due to his family background	He was the first person in the family to be involved in acting.	not_entailment	The itch to interpret comes from his family.	He was the first person in the family to be involved in acting.
According to doctor Miguel Aizpún, a specialist in dermatology and allergies, an early diagnosis is crucial for individuals with the most aggressive form of skin cancer due to its poor prognosis	Dr. Miguel Aizpún has skin cancer.	not_entailment	It’s the most aggressive skin cancer and the worst prognosis, this is why an early diagnosis “is very important”, says doctor Miguel Aizpún, who is a specialist in dermatology and allergies.	Dr. Miguel Aizpún has skin cancer.
The equality of treatment for all data on the Internet, known as net neutrality, is more about the competition between certain non-European companies in the Internet industry and dominant telecommunications companies, rather than a matter of Internet freedom	All Internet companies are European.	not_entailment	The net's neutrality is not as much related to the freedom of the Internet as to the struggle of some companies in the Internet world, which are generally not European, to strengthen their power against the main companies that invest in telecommunications networks.	All Internet companies are European.
The members of the panel will consist of prominent government officials, businesspeople, and community leaders, drawn from various countries, both industrialized and developing	The 21 panel members come from different countries and social actors.	entailment	The 21 panel members will be high-ranking functionaries, representatives of the private sector and civil society, both from developed countries and developing nations, a diverse and “geographically balanced” group.	The 21 panel members come from different countries and social actors.
Then he stated that he possessed a flat that he leased out, and he received a considerable amount of income from it each month, in addition to the complications with the computers and his football team earnings	He earns money from more than one place	entailment	And then he said that he owned an apartment which he was renting, and he gets some good monthly money for it (renting is not particularly cheap), besides the mess with the computers and what he earns in the football team.	He has more than one source of income.
This material, referred to as a pellet, produces a significant amount of heat, making it a noteworthy choice for home heating systems	Pellets are better than wood.	not_entailment	This material, known as a pellet, has a high level of heat production performance, so these types of heaters are a notable option for heating homes.	Pellets are better than wood.
In   of the notifications regarding potential health risks from fish products at the EU originated from within the European Community, while the remaining  came from outside, primarily China, which accounted for the largest percentage of such notifications from non-European countries	There are fish by-products suspicious of being a health risk all over the world.	entailment	At the EU, 65% of those notified during 2007 came from EU products and the rest from outside the Community's borders, especially China, the non-European country with the highest rate of fish products suspicious of causing health risks, with 12% information notifications. This is a message produced when, unlike alerts, there is no need for immediate action but for future prevention.	There are fish by-products suspicious of being a health risk all over the world.
A false claim made by fascists that some Jews hold significant political power in the government and parliament had an impact on certain segments of the population	Fascists always tell the truth.	not_entailment	Another fascist lie that had repercussions among the backward sectors of the population is that Jews control the government and parliament.	Fascists always tell the truth.
The woman named Agustina who is speaking presently, it’s as if she were going to her workplace in the morning and using drugs there	Tomorrow, there could be injuries or even deaths.	entailment	Edit: The Agustina one who is talking now, it’s like going to work tomorrow morning and shooting up the office.	Tomorrow, there could be injuries or even deaths.
In  the Superior Court of Los Angeles finalized the divorce between Banderas and his ex-wife, and established certain terms that were not favorable to Banderas	The couple had 3 children	not_entailment	The Superior Court of Los Angeles settled it in 1996 with the couple’s divorce, and dictated a series of conditions not at all beneficial to Banderas, who, at the time, wanted to avoid any kind of confrontation with his ex-wife.	The couple had 3 children
According to a survey, a larger percentage of women in Madrid express acceptance towards the presence and activities of the gay community compared to other women	The survey also looks at possible racist behaviors	not_entailment	A survey reveals that women in Madrid are more tolerant of the gay community.	The survey also looks at possible racist behaviors
The main character of “Gladiator,” who was heavier in weight and dressed casually, showed great affection towards his two children as they walked together in Beverly Hills	The protagonist of “Gladiator” walked the streets of Beverly Hills with a rather informal look and appearing to be an attentive father.	entailment	With a few extra pounds and and an informal look, the main character of “Gladiator” was very affectionate with his two kids along the streets of Beverly Hills.	The protagonist of “Gladiator” walked the streets of Beverly Hills with a rather informal look and appearing to be an attentive father.
Some individuals in positions of authority have announced their intention to seize the compositions of Mejía Godoy, regarding them as if they were tangible assets such as cattle, a bank, or a dairy plant	Mejía Godoy's songs deal with issues of power	not_entailment	From the heights of power, there are those who declare the songs of Mejía Godoy subject to confiscation, as if they were a herd of cows, a bank, or a dairy factory.	Mejía Godoy's songs are related to the heights of power
Some good people have proposed that this word is made up of two words: sad and sweet.	The word consists of feelings of happiness and sadness	not_entailment	Some good people have proposed that this word is made up of two words: sad and sweet.	The word is formed by happiness and bitterness.
Zapatero, who enjoys football, expressed his backing for Madrid's bid to host the World Cup after Madrid failed to secure the Olympic Games	After the Olympic Games application was approved for Zapatero's city, he publicly expressed his backing for the bid to host the World Cup	not_entailment	Zapatero is a big football fan and after a kick in the teeth for not being able to host the 2016 Olympic Games, he has shown his support to the candidacy to be home to the 2018 World Cup.	Zapatero's happiness upon being accepted as the site of the Olympic Games has led him to show his support for the application for the 2018 World Cup.
V	V. Verdú works on illustration	entailment	V. Verdú merely illustrates – or documents – through current massive festive and playful encounters, juxtaposing them with others – from the past – which were not, let’s say, festive, politic or civic.	V. Verdú works on illustration
Regardless, he declared that the present moment is the least favorable for selling, thus we need to endure until the restoration occurs	The author of the sentence believes we are undergoing one of the worst moments of the crisis.	entailment	In any case, he stated that "it is the worst possible time to sell, so we have to try to survive until the recovery takes place."	The author of the sentence believes we are undergoing one of the worst moments of the crisis.
Additionally, the deployment of additional U	There are 13,000 soldiers in Irak.	not_entailment	Also consider that sending more U.S. troops to Iraq seems right, now that there is increased rational hope that a cooperating Iraq (three-party) is moving towards self-government, which could justify a future withdrawal of the American Army from there.	There are 13,000 soldiers in Irak.
In various eastern U	Pine trees are difficult to plant in the east of the United States.	not_entailment	For some time, in every home where I have lived in the eastern U.S., even in Chicago, I have wanted to plant a couple of them at each side of the house, but I have never found any.	Pine trees are difficult to plant in the east of the United States.
Obtain some knowledge and information, and you will reach the same understanding that a server did previously	If you acquire knowledge and understanding, you will not arrive at the same judgments I made in the past	not_entailment	Inform and educate yourself a little, and you will come to the same conclusions that a server came to a long time ago.	If you inform and educate yourselves, you will never reach the conclusions that I reached a long time ago.
This summer, Cynthia made the decision to end her relationship with the athlete	Cynthia has maintained a sentimental relationship with an athlete.	entailment	It was this summer that Cynthia decided to separate from the athlete, a process in which they managed to reach a “friendly” accord, as they announced via their respective lawyers without giving any more details on the matter.	Cynthia has maintained a sentimental relationship with an athlete.
For Rafaeli the experience was an "adventure."	Rafaeli has experienced various exciting events in his life	entailment	For Rafaeli the experience was an "adventure."	Rafaeli has lived an adventure
The previous action had set the stage for potential problems to develop	If we do nothing, everything will be fine.	not_entailment	Although, "careful, the previous one left the seeds of disaster well planted and fertilized".	If we do nothing, everything will be fine.
In the absence of intelligent life and consciousness, the passage of time as we understand it would not occur, only events would transpire	The time would pass with only rational beings on the planet.	not_entailment	On a planet without thinking beings and without sentient beings, time would not go by, only things would happen.	The time would pass with only rational beings on the planet.
Despite the gravity of her condition, she recovered swiftly and was discharged from the hospital in July of that year	He suffered from a coronary disease	not_entailment	In spite of the seriousness, she got better quickly and in July of the same year she received medical release.	He suffered from a coronary disease
Maxima listened to the presentations of the projects and conversed with the women who would potentially become business owners in Turkey	Máxima is interested in the Turkish economic market.	entailment	Máxima listened to what the projects were and she was talking to these future businesswomen and she was able to understand, first hand, what problems the Turkish markets are dealing with.	Máxima is interested in the Turkish economic market.
FROM NOVEMBER  TO NOVEMBER   SHE WAS INSPIRATION FOR CHANNEL'S WORK	She inspired Chanel to create her designs	entailment	NOVEMBER 3, 2000 She was Channel’s muse for seven years.	She was Chanel's muse
According to a survey, a larger percentage of women in Madrid express acceptance towards the presence and activities of the gay community compared to other women	According to the survey, girls are less tolerant of the gay community.	not_entailment	A survey reveals that women in Madrid are more tolerant of the gay community.	According to the survey, girls are less tolerant of the gay community.
Barcelona's team is superior to both Real Madrid's and Sevilla's teams	Barcelona is behind Seville.	not_entailment	In any case, not even Real Madrid nor Sevilla teams will reach the Barcelona team.	Barcelona is behind Seville.
Africa is a region where justice is effectively applied and upheld	Justice is everywhere.	not_entailment	Because justice does not encompass the entire universe, you could say that it does at least reign in Africa, the fortunate continent.	Justice is everywhere.
When the CAM financial institution did not require the developer to be personally responsible for the repayment of the mortgage for a specific project, the mortgage had not been fully repaid	The financial institution received the development as payment.	entailment	In this case, a financial institution (the CAM, in particular) that kept the development as nonrecourse, unless the mortgage hadn’t been paid back entirely, which isn’t likely because common practice in the industry is to pay the interests of mortgages (to avoid entering in arrears) with pending delivery for the developments with sufficient margin (the rule in the industry for a long time has been that the developer doesn’t even see the money, the bank delivers directly to the builder) and waiting to the last minute is common practice to not declare arrears and not provision.	The financial institution received the development as payment.
The actress will share her experiences of dealing with cancer in a two-hour documentary produced by NCB, which will be aired on American television on May	The documentary mixes English with the mother tongue of the actress.	not_entailment	The actress has also decided to recount her fight against cancer in a two-hour documentary that will be broadcast by the American television network, NCB, on Friday, May 15.	The documentary mixes English with the mother tongue of the actress.
Oksana and Mel eagerly anticipate the arrival of both the album and their first child together	Oksana and Mel's first common child will be welcome.	entailment	Oksana and Mel are looking forward to the album's release, but also the arrival of their first child together.	Oksana and Mel's first common child will be welcome.
The soccer player plans to transfer his rights to another European club or to an American team, such as the Los Angeles Galaxy, in order to have complete authority over them	The soccer player shares his image rights in equal parts with his current club	not_entailment	The soccer player, however, intends to regain full control of these rights and could be waiting, on the advice of his agents, for a contract with another European club or, ultimately, a project in the United States, where the Los Angeles Galaxy would give him full control of his image rights and, in the process, accompany his wife Victoria’s screen acting adventure.	The soccer player shares his image rights in equal parts with his current club
I hope he succeeds in the intricate contest	This is a difficult match.	entailment	I wish him luck in such a delicate match.	This is a difficult match.
As Christmas approaches, we all strive to present our most favorable appearance	Christmas Day is when people give more help the needy.	not_entailment	When Christmas is near, we all want to show our best face.	Christmas Day is when people give more help the needy.
If he went into exile in France and lived in Bordeaux, it was due to his disagreement with Ferdinand VII of Spain's authoritarian rule, which involved the reinstatement of censorship, the Inquisition, and the promotion of bullfighting schools and bullfights	He lived in Bordeaux during Fernando VII's regime.	not_entailment	And if he ended up exiling himself to France and living in Bordeaux, it was because of his incompatibility with the absolutist regime (“long live the chains!”) of Ferdinand VII of Spain, enemy of intelligence, restorer of censorship and the Inquisition, creator of bullfighting schools and great promoter of bullfights.	He lived in Bordeaux during Fernando VII's regime.
If thou still lived and still wished to have thy satisfaction by taking revenge on me, though must know that you have accomplished this all the better by letting me keep my life than by annihilating me.	Allowing someone to continue living is a more effective form of revenge than ending their life	entailment	If thou still lived and still wished to have thy satisfaction by taking revenge on me, though must know that you have accomplished this all the better by letting me keep my life than by annihilating me.	To let someone keep their life is a much greater revenge than taking their life.
Each of her public appearances has significant importance to those who attend, without her conscious planning	Public appearances are events of great social significance, but not political.	not_entailment	Each of her public appearances becomes, without her intention, an event of great transcendence.	Public appearances are events of great social significance, but not political.
Valderas, together with coalition members including Concha Caballero, Parliament Spokesperson from IU, informed journalists that "no one can challenge this statute, among other things, since the 'no' vote did not receive a clear majority	Valderas made the statement alongside members of the coalition	entailment	Valderas, along with members of the coalition which included a visibly affected Concha Caballero, Parliament Spokesperson from IU, told journalists that "no one can question this statute, among other things, because the 'no' answer has not been absolutely defeated."	Valderas made the statement alongside members of the coalition
He deserves nothing more than having that blog of his, where he advertises his books like a vulgar shopkeeper, with hundreds of responses from people like us who love and respect art in any of its forms, including comics.	Art enthusiasts will write answers on the blog	entailment	He deserves nothing more than having that blog of his, where he advertises his books like a vulgar shopkeeper, with hundreds of responses from people like us who love and respect art in any of its forms, including comics.	Art enthusiasts are going to fill the blog with answers.
Every detail has been take care of to the fullest extent.	The extent of work's complexity attains significant levels	not_entailment	Every detail has been take care of to the fullest extent.	Work reaches levels of detail
The members of the panel will consist of prominent government officials, businesspeople, and community leaders, drawn from various countries, both industrialized and developing	The distribution of representatives from various countries in the panel is not even	not_entailment	The 21 panel members will be high-ranking functionaries, representatives of the private sector and civil society, both from developed countries and developing nations, a diverse and “geographically balanced” group.	The representatives of the countries in the panel are not balanced geographically.
The Galician culture requires a project for international exposure, as evidenced by discussions on various Galician blogs	Galician culture needs an international projection, but this project is very complicated, even more so if they receive accusations from sectarians.	entailment	It’s true that the Galician culture needs an internationalisation project (visit several Galician blogs and you’ll see that there’s an interesting open discussion about it) but there’s no doubt that this project is very complex if a media group make it very difficult and knowing the mistake (Juan Cruz's was forgiveable), only perceive accusations of being sectarian from another "intellectual".	Galician culture needs an international projection, but this project is very complicated, even more so if they receive accusations from sectarians.
When the water reaches its boiling point, cook the food at a medium temperature until it becomes tender	They will become less firm or resilient soon	entailment	When it starts to boil, leave them at medium heat until they are tender.	They’ll go soft in a bit.
In the same way that celebrities provided assistance after the earthquake in Haiti last January, they are doing so now following the earthquake in Chile on Saturday	No celebrity is helping in the task of mitigating the effects of the earthquake in Chile.	not_entailment	Just as it happened with those affected by the earthquake that shook up Haiti last January, in this occasion, and because of the earthquake that took place in Chile on Saturday, celebrities are quickly offering their help.	No celebrity is helping in the task of mitigating the effects of the earthquake in Chile.
Nationalism causes people to believe that a nation, which is merely the result of a geographical area and a distinct culture, possesses a metaphysical identity	The reason for the harmful effects of nationalism is the distinctiveness of a particular territory and its associated culture	not_entailment	The evil of nationalism is that they invert these terms and consider the existence of a metaphysical identity, the nation, which is but the consequence of the mystical union between a particular territory and a specific culture.	The evil of nationalism is because of the mystical disunity between a certain territory and a specific culture.
Michael Jackson, as reported by the author, spent his final days reading the Bible and listening to a variety of music, including classical and that of the Gipsy Kings, which was not typically his preference	Michael Jackson lived his last days chaotically.	not_entailment	According to the author, Michael Jackson’s last days were lived in chaos and were spent reading the Bible and listening to music as diverse as classical and the Gipsy Kings—which he was usually not very fond of.	Michael Jackson lived his last days chaotically.
- An individual with limited knowledge and additional funds believes he is a significant player and purchases excessively, despite the fact that they will not be able to fully pay for the items and may ultimately lose them	Despite having little knowledge, they will finish paying all the purchases.	not_entailment	2.- Someone who, with very little knowledge and a bit of extra money, thinks he is the big kahuna and starts buying at truly savage prices... although we ALL know that they won't finish paying it and everything will be taken from them.	Despite having little knowledge, they will finish paying all the purchases.
It has to be complex, of course, and we have to keep it in writing, in a safe place and never in a file stored in a computer.	It is important to handle documents and keys with care	not_entailment	It has to be complex, of course, and we have to keep it in writing, in a safe place and never in a file stored in a computer.	You must be careful with documents and keys.
The wife of Emperor Akihito, known as the Empress, has experienced some health issues for the past two years	The empress is happily married.	not_entailment	The Empress, wife of Emperor Akihito, who for two years has suffered a slight gastritis, has had mouth ulcers and has had several nose bleeds.	The empress is happily married.
In   of the notifications regarding potential health risks from fish products at the EU originated from within the European Community, while the remaining  came from outside, primarily China, which accounted for the largest percentage of such notifications from non-European countries	China doesn’t have any suspicious fish derived products that pose a health risk.	not_entailment	At the EU, 65% of those notified during 2007 came from EU products and the rest from outside the Community's borders, especially China, the non-European country with the highest rate of fish products suspicious of causing health risks, with 12% information notifications. This is a message produced when, unlike alerts, there is no need for immediate action but for future prevention.	China doesn’t have any suspicious fish derived products that pose a health risk.
The wife of Emperor Akihito, known as the Empress, has experienced some health issues for the past two years	The empress is ill.	entailment	The Empress, wife of Emperor Akihito, who for two years has suffered a slight gastritis, has had mouth ulcers and has had several nose bleeds.	The empress is ill.
According to their belief, this meteorite is the biggest one that has passed through the peninsula	The meteorite was controlled from NASA so that it would not collide with the Earth.	not_entailment	They believe that this is the largest meteorite that has ever crossed the peninsula.	The meteorite was controlled from NASA so that it would not collide with the Earth.
Based on his account, the quantity adjustments for housing construction might have nearly ended due to the overbuilding during the period of increased activity	Banks grant credits very easily.	not_entailment	According to his explanation, “we could be reaching the end of the quantity adjustments” following the excess construction of housing during the “boom” years, which, taking into account that historically the adjustments to “brick” in Spain have occurred in these environments, would imply that “the worst (of the correction) is over”.	Banks grant credits very easily.
In this same quarter, the two courthouses received 965 criminal matters and, although they processed 996 (many of them during the previous periods and during extra hours), at the end of these three months, there were still 422 pending trials, according to the last information given by the General Council of Judiciary.	The courts process on time all criminal cases they receive	not_entailment	In this same quarter, the two courthouses received 965 criminal matters and, although they processed 996 (many of them during the previous periods and during extra hours), at the end of these three months, there were still 422 pending trials, according to the last information given by the General Council of Judiciary.	The courts process on time all criminal cases they receive
Valderas, together with coalition members including Concha Caballero, Parliament Spokesperson from IU, informed journalists that "no one can challenge this statute, among other things, since the 'no' vote did not receive a clear majority	Valderas himself made the statements	not_entailment	Valderas, along with members of the coalition which included a visibly affected Concha Caballero, Parliament Spokesperson from IU, told journalists that "no one can question this statute, among other things, because the 'no' answer has not been absolutely defeated."	Valderas himself made the statements
Those affected by a condition that makes them unable to work must file a lawsuit in the Social Courts to secure Permanent Incapacity status and have the trial decide in their favor	Filing a complaint means automatically being granted a permanent disability.	not_entailment	This is their main struggle; in order to obtain Permanent Incapacity, those affected must file a lawsuit in the Social Courts and win the corresponding trial.	Filing a complaint means automatically being granted a permanent disability.
During summer, people do not wear shirts, exposing their necks	During summer fewer people cover their neck with clothes.	entailment	In summer, with no shirts on, necks generously offer themselves to view.	During summer fewer people cover their neck with clothes.
Based on his account, the quantity adjustments for housing construction might have nearly ended due to the overbuilding during the period of increased activity	In this field, the adjustments that typically take place in the physical or traditional economy are not happening	not_entailment	According to his explanation, “we could be reaching the end of the quantity adjustments” following the excess construction of housing during the “boom” years, which, taking into account that historically the adjustments to “brick” in Spain have occurred in these environments, would imply that “the worst (of the correction) is over”.	The adjustments in the "brick and mortar" economy are not occurring in this field.
Valderas, together with coalition members including Concha Caballero, Parliament Spokesperson from IU, informed journalists that "no one can challenge this statute, among other things, since the 'no' vote did not receive a clear majority	The journalists believed Valderas.	not_entailment	Valderas, along with members of the coalition which included a visibly affected Concha Caballero, Parliament Spokesperson from IU, told journalists that "no one can question this statute, among other things, because the 'no' answer has not been absolutely defeated."	The journalists believed Valderas.
Currently, three out of four pure-bred Iberian pigs that only eat acorns slaughtered during the last season are 5J.	Iberian pigs from the last season had good quality	entailment	Currently, three out of four pure-bred Iberian pigs that only eat acorns slaughtered during the last season are 5J.	The quality of Iberian pigs from the last season is high.
This week, the Christmas tree-topper for the New York Rockefeller Center was unveiled in New York	A star will be placed at the top of the Rockefeller Centre tree	entailment	This week, the star that will sit atop the New York Rockefeller Center was revealed in New York.	The Rockerfeller Centre tree will be topped with a star.
The variety of laws in a country enables various interpretations of their structure to coexist peacefully	The diversity of legislation brings improvements in education.	not_entailment	The diversity of legislations, for instance, rather than deepen division makes it possible for different ways of understanding their organization to live together in the same country.	The diversity of legislation brings improvements in education.
If he went into exile in France and lived in Bordeaux, it was due to his disagreement with Ferdinand VII of Spain's authoritarian rule, which involved the reinstatement of censorship, the Inquisition, and the promotion of bullfighting schools and bullfights	He exiled himself to Bordeaux because he did not agree with Ferdinand VII's ideas.	entailment	And if he ended up exiling himself to France and living in Bordeaux, it was because of his incompatibility with the absolutist regime (“long live the chains!”) of Ferdinand VII of Spain, enemy of intelligence, restorer of censorship and the Inquisition, creator of bullfighting schools and great promoter of bullfights.	He exiled himself to Bordeaux because he did not agree with Ferdinand VII's ideas.
Poets and novelists, including Jünger, have written about their experiences in World War I	Jünger was German.	not_entailment	As for poets and novelists, only Jünger is notable, in whose book, Storm of Steel, Hitler sees a model for his own memories of World War I, a work he never managed to write.	Jünger was German.
When they are the sole focus of conversations, an inaccurate perception of reality is formed	The mirror reflects the true appearance of them	not_entailment	When it is only them who are talked about, they create a mistaken image of reality.	The mirror gives them the image of reality.
