premise	hypothesis	gold_label	original_premise
They had to distribute the resources in a controlled manner until the Duke arrived.	They had to mess things out until the Duke arrived	not_entailment	They had to ration things out until the Duke arrived
I will not lower myself to the level of reading other people's private correspondence.	I won't go to reading other people's mail	entailment	I won't stoop to reading other people's mail
I will not lower myself to the level of reading other people's private correspondence.	I won't stop to reading other people's mail	not_entailment	I won't stoop to reading other people's mail
The stars reflect light in the dark atmosphere.	The stars glow in the night sky	entailment	The stars sparkle in the night sky
The stars reflect light in the dark atmosphere.	The stars dim in the night sky	not_entailment	The stars sparkle in the night sky
The difference between the two theories faded.	The distinction between the two theories disappear	entailment	The distinction between the two theories wilted
The difference between the two theories faded.	The distinction between the two theories appear	not_entailment	The distinction between the two theories wilted
The low temperature causes her bones to feel numb and stiff.	The cold chill her bones	entailment	The cold petrifies her bones
The low temperature causes her bones to feel numb and stiff.	The cold warms her bones	not_entailment	The cold petrifies her bones
The water poured out of the can and into the backpack.	Water leaked out of the can into the backpack	entailment	Water flooded out of the can into the backpack
The water poured out of the can and into the backpack.	Water entered into the can from the backpack	not_entailment	Water flooded out of the can into the backpack
My emotions influence my decision-making in this situation.	My personal feelings influenced my judgment in this case	entailment	My personal feelings sway my judgment in this case
My emotions influence my decision-making in this situation.	My personal feelings nullified my judgment in this case	not_entailment	My personal feelings sway my judgment in this case
The night sky was filled with a large number of falling objects.	The night sky burned with the massive bombardment	entailment	The night sky flurried with the massive bombardment
The night sky was filled with a large number of falling objects.	The night sky doused with the massive bombardment	not_entailment	The night sky flurried with the massive bombardment
The smell of her hair was light and curly.	Of that faint fragrance being from her soft hair	entailment	Of that faint fragrance spiraling from her soft hair
The smell of her hair was light and curly.	Of that faint fragrance stagnating in her soft hair	not_entailment	Of that faint fragrance spiraling from her soft hair
The earthquake has caused significant damage to their area.	Earthquake hath continued deeply its tale on them	entailment	Earthquake hath swam deeply its tale on them
The earthquake has caused significant damage to their area.	Earthquake hath resisted deeply its tale on them	not_entailment	Earthquake hath swam deeply its tale on them
And the truth was accepted, and the wrong was corrected.	And truth accepted , and righted wrong	entailment	And truth stomached , and righted wrong
And the truth was accepted, and the wrong was corrected.	And truth denied , and righted wrong	not_entailment	And truth stomached , and righted wrong
They caused a sudden feeling of fear and coldness in my body.	They created a shudder through my being still	entailment	They sent a shudder through my being still
They caused a sudden feeling of fear and coldness in my body.	They reduced a shudder through my being still	not_entailment	They sent a shudder through my being still
They carefully examined the job candidates.	They went through the job candidates	entailment	They scoured through the job candidates
They carefully examined the job candidates.	They skipped through the job candidates	not_entailment	They scoured through the job candidates
The meat was transformed into a fatty sauce.	The meat was cooked in a fatty gravy	entailment	The meat was transfigured in a fatty gravy
The meat was transformed into a fatty sauce.	The meat was uncooked in a fatty gravy	not_entailment	The meat was transfigured in a fatty gravy
Stock prices are increasing rapidly.	Stock prices are rising higher	entailment	Stock prices are rocketing higher
Stock prices are increasing rapidly.	Stock prices are falling higher	not_entailment	Stock prices are rocketing higher
I struggled with this decision for years.	I struggled with this decision for years	entailment	I battled with this decision for years
I struggled with this decision for years.	I breezed with this decision for years	not_entailment	I battled with this decision for years
The man's body was deformed by leprosy.	His body was deformed by leprosy	entailment	His body was twisted by leprosy
The man's body was deformed by leprosy.	His body was improved by leprosy	not_entailment	His body was twisted by leprosy
She had to take care of her job and her children.	She had to manage her job and her children	entailment	She had to tend to her job and her children
She had to take care of her job and her children.	She had to derange her job and her children	not_entailment	She had to tend to her job and her children
She did not realize that an opportunity was available to her.	She did not realize that opportunity was coming at her door	entailment	She did not realize that opportunity was waiting at her door
She did not realize that an opportunity was available to her.	She did not realize that opportunity was leaving at her door	not_entailment	She did not realize that opportunity was waiting at her door
I move forward in the foggy atmosphere that limits my vision.	As I walk through the grey mist that blocks my sight	entailment	As I walk through the grey mist that tempers my sight
I move forward in the foggy atmosphere that limits my vision.	As I walk through the grey mist that enhances my sight	not_entailment	As I walk through the grey mist that tempers my sight
Calm water surfaces ripple in the wind.	Still waters sway in the wind	entailment	Still waters groove in the wind
Calm water surfaces ripple in the wind.	Still waters stop in the wind	not_entailment	Still waters groove in the wind
